City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,marsh harbour,26.5412,-77.0636,21.71,75,93,3.86,BS,1707118516
351,caleta olivia,-46.4393,-67.5281,21.28,35,66,14.35,AR,1707118548
352,patterson,37.4716,-121.1297,13.39,81,80,5.7,US,1707118548
353,collie,-33.3667,116.15,27.46,24,0,2.92,AU,1707118549
354,ulladulla,-35.35,150.4667,25.43,79,100,3.37,AU,1707118549
355,pamekasan,-7.1568,113.4746,28.36,77,97,3.83,ID,1707118549
356,graaff-reinet,-32.2522,24.5308,28.84,48,0,2.61,ZA,1707118549
357,san luis de la loma,17.2706,-100.8939,21.72,50,0,2.05,MX,1707118550
358,namibe,-15.1961,12.1522,26.34,72,100,2.06,AO,1707118550
359,jalpan,21.2333,-99.4833,16.17,27,0,1.38,MX,1707118550
360,manggar,-2.8833,108.2667,30.18,65,85,4.81,ID,1707118550
361,stanley,54.868,-1.6985,9.77,76,75,12.86,GB,1707118550
362,newman,37.3138,-121.0208,13.41,81,35,3.13,US,1707118551
